"Name","Team","GP","Top 12","QB 1-6","QB 7-12","QB2","QB3+"
"Patrick Mahomes","KC","17","88.2%","70.6%","17.6%","11.8%","0.0%"
"Josh Allen","BUF","16","87.5%","75.0%","12.5%","12.5%","0.0%"
"Jalen Hurts","PHI","15","86.7%","80.0%","6.7%","13.3%","0.0%"
"Kyler Murray","ARI","11","72.7%","18.2%","54.5%","18.2%","9.1%"
"Joe Burrow","CIN","16","68.8%","50.0%","18.8%","31.3%","0.0%"
"Justin Fields","CHI","15","60.0%","33.3%","26.7%","13.3%","26.7%"
"Geno Smith","SEA","17","58.8%","23.5%","35.3%","35.3%","5.9%"
"Justin Herbert","LAC","17","58.8%","11.8%","47.1%","29.4%","11.8%"
"Trevor Lawrence","JAX","17","58.8%","29.4%","29.4%","23.5%","17.6%"
"Lamar Jackson","BAL","12","58.3%","16.7%","41.7%","33.3%","8.3%"
"Kirk Cousins","MIN","17","52.9%","23.5%","29.4%","29.4%","17.6%"
"Dak Prescott","DAL","12","50.0%","16.7%","33.3%","41.7%","8.3%"
"Mike White","NYJ","4","50.0%","25.0%","25.0%","25.0%","25.0%"
"Derek Carr","LV","15","46.7%","6.7%","40.0%","26.7%","26.7%"
"Daniel Jones","NYG","16","43.8%","18.8%","25.0%","43.8%","12.5%"
"Ryan Tannehill","TEN","12","41.7%","0.0%","41.7%","41.7%","16.7%"
"Tua Tagovailoa","MIA","13","38.5%","30.8%","7.7%","46.2%","15.4%"
"Carson Wentz","WAS","8","37.5%","37.5%","0.0%","12.5%","50.0%"
"Jimmy Garoppolo","SF","11","36.4%","9.1%","27.3%","45.5%","18.2%"
"Jared Goff","DET","17","35.3%","23.5%","11.8%","47.1%","17.6%"
"Deshaun Watson","CLE","6","33.3%","16.7%","16.7%","50.0%","16.7%"
"Sam Darnold","CAR","6","33.3%","16.7%","16.7%","50.0%","16.7%"
"Zach Wilson","NYJ","9","33.3%","0.0%","33.3%","22.2%","44.4%"
"Brock Purdy","SF","9","33.3%","11.1%","22.2%","33.3%","33.3%"
"Marcus Mariota","ATL","13","30.8%","15.4%","15.4%","53.8%","15.4%"
"Tom Brady","TB","17","29.4%","11.8%","17.6%","52.9%","17.6%"
"Mac Jones","NE","14","28.6%","0.0%","28.6%","42.9%","28.6%"
"Russell Wilson","DEN","15","26.7%","26.7%","0.0%","53.3%","20.0%"
"Matt Ryan","IND","12","25.0%","16.7%","8.3%","50.0%","25.0%"
"Sam Ehlinger","IND","4","25.0%","0.0%","25.0%","0.0%","75.0%"
"Desmond Ridder","ATL","4","25.0%","0.0%","25.0%","0.0%","75.0%"
"Bailey Zappe","NE","4","25.0%","0.0%","25.0%","0.0%","75.0%"
"Taylor Heinicke","WAS","9","22.2%","0.0%","22.2%","66.7%","11.1%"
"Joe Flacco","NYJ","5","20.0%","20.0%","0.0%","20.0%","60.0%"
"Teddy Bridgewater","MIA","5","20.0%","0.0%","20.0%","40.0%","40.0%"
"Gardner Minshew","PHI","5","20.0%","20.0%","0.0%","20.0%","60.0%"
"Jarrett Stidham","LV","5","20.0%","20.0%","0.0%","20.0%","60.0%"
"Davis Mills","HOU","15","20.0%","13.3%","6.7%","60.0%","20.0%"
"Jacoby Brissett","CLE","16","18.8%","6.3%","12.5%","43.8%","37.5%"
"Andy Dalton","NO","14","14.3%","7.1%","7.1%","50.0%","35.7%"
"Aaron Rodgers","GB","17","11.8%","0.0%","11.8%","76.5%","11.8%"
"Matthew Stafford","LAR","9","11.1%","0.0%","11.1%","55.6%","33.3%"
"Baker Mayfield","CAR","12","8.3%","0.0%","8.3%","33.3%","58.3%"
"Kenny Pickett","PIT","13","7.7%","0.0%","7.7%","61.5%","30.8%"
"Chase Daniel","LAC","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Colt McCoy","ARI","4","0.0%","0.0%","0.0%","75.0%","25.0%"
"Jeff Driskel","HOU","7","0.0%","0.0%","0.0%","14.3%","85.7%"
"Mitch Trubisky","PIT","7","0.0%","0.0%","0.0%","71.4%","28.6%"
"C.J. Beathard","JAX","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"P.J. Walker","CAR","6","0.0%","0.0%","0.0%","33.3%","66.7%"
"Nick Mullens","MIN","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Cooper Rush","DAL","9","0.0%","0.0%","0.0%","33.3%","66.7%"
"Trace McSorley","ARI","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Brett Rypien","DEN","4","0.0%","0.0%","0.0%","25.0%","75.0%"
"Tyler Huntley","BAL","6","0.0%","0.0%","0.0%","50.0%","50.0%"
"Bryce Perkins","LAR","5","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jordan Love","GB","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Malik Willis","TEN","8","0.0%","0.0%","0.0%","12.5%","87.5%"
"Skylar Thompson","MIA","7","0.0%","0.0%","0.0%","0.0%","100.0%"
