"Name","Team","GP","Top 12","TE 1-6","TE 7-12","TE2","TE3+"
"Travis Kelce","KC","17","76.5%","70.6%","5.9%","23.5%","0.0%"
"Zach Ertz","ARI","10","70.0%","40.0%","30.0%","20.0%","10.0%"
"Dallas Goedert","PHI","12","66.7%","16.7%","50.0%","16.7%","16.7%"
"Mark Andrews","BAL","15","60.0%","33.3%","26.7%","26.7%","13.3%"
"Greg Dulcich","DEN","10","60.0%","10.0%","50.0%","10.0%","30.0%"
"George Kittle","SF","15","53.3%","46.7%","6.7%","20.0%","26.7%"
"Taysom Hill","NO","16","50.0%","31.3%","18.8%","12.5%","37.5%"
"Pat Freiermuth","PIT","16","50.0%","18.8%","31.3%","25.0%","25.0%"
"Tyler Higbee","LAR","17","47.1%","17.6%","29.4%","5.9%","47.1%"
"T.J. Hockenson","DET","17","47.1%","17.6%","29.4%","41.2%","11.8%"
"Darren Waller","LV","9","44.4%","33.3%","11.1%","11.1%","44.4%"
"David Njoku","CLE","14","42.9%","35.7%","7.1%","21.4%","35.7%"
"Dalton Schultz","DAL","15","40.0%","26.7%","13.3%","26.7%","33.3%"
"Dawson Knox","BUF","15","40.0%","20.0%","20.0%","33.3%","26.7%"
"Gerald Everett","LAC","16","37.5%","18.8%","18.8%","37.5%","25.0%"
"Evan Engram","JAX","17","35.3%","23.5%","11.8%","17.6%","47.1%"
"Jordan Akins","HOU","15","33.3%","6.7%","26.7%","13.3%","53.3%"
"Juwan Johnson","NO","16","31.3%","25.0%","6.3%","31.3%","37.5%"
"Cole Kmet","CHI","17","29.4%","17.6%","11.8%","35.3%","35.3%"
"Lawrence Cager","NYJ","7","28.6%","0.0%","28.6%","0.0%","71.4%"
"Hunter Henry","NE","17","23.5%","11.8%","11.8%","17.6%","58.8%"
"Tyler Conklin","NYJ","17","23.5%","11.8%","11.8%","35.3%","41.2%"
"Noah Fant","SEA","17","23.5%","11.8%","11.8%","35.3%","41.2%"
"Chigoziem Okonkwo","TEN","17","23.5%","11.8%","11.8%","29.4%","47.1%"
"Hayden Hurst","CIN","13","23.1%","7.7%","15.4%","46.2%","30.8%"
"Teagan Quitoriano","HOU","9","22.2%","0.0%","22.2%","11.1%","66.7%"
"Will Dissly","SEA","15","20.0%","6.7%","13.3%","26.7%","53.3%"
"Kyle Pitts","ATL","10","20.0%","20.0%","0.0%","40.0%","40.0%"
"Jelani Woods","IND","15","20.0%","13.3%","6.7%","13.3%","66.7%"
"Cade Otton","TB","16","18.8%","12.5%","6.3%","18.8%","62.5%"
"Isaiah Likely","BAL","16","18.8%","12.5%","6.3%","18.8%","62.5%"
"Robert Tonyan","GB","17","17.6%","5.9%","11.8%","35.3%","47.1%"
"Mike Gesicki","MIA","17","17.6%","11.8%","5.9%","17.6%","64.7%"
"Daniel Bellinger","NYG","12","16.7%","0.0%","16.7%","33.3%","50.0%"
"MyCole Pruitt","ATL","13","15.4%","0.0%","15.4%","15.4%","69.2%"
"Logan Thomas","WAS","14","14.3%","7.1%","7.1%","21.4%","64.3%"
"Foster Moreau","LV","15","13.3%","6.7%","6.7%","46.7%","40.0%"
"Irv Smith Jr.","MIN","8","12.5%","12.5%","0.0%","37.5%","50.0%"
"Albert Okwuegbunam","DEN","8","12.5%","0.0%","12.5%","12.5%","75.0%"
"Austin Hooper","TEN","17","11.8%","5.9%","5.9%","35.3%","52.9%"
"Harrison Bryant","CLE","17","11.8%","0.0%","11.8%","5.9%","82.4%"
"Noah Gray","KC","17","11.8%","0.0%","11.8%","17.6%","70.6%"
"Colby Parkinson","SEA","17","11.8%","5.9%","5.9%","17.6%","70.6%"
"Tommy Tremble","CAR","17","11.8%","0.0%","11.8%","11.8%","76.5%"
"Brock Wright","DET","17","11.8%","5.9%","5.9%","17.6%","70.6%"
"Ross Dwelley","SF","12","8.3%","0.0%","8.3%","8.3%","83.3%"
"O.J. Howard","HOU","13","7.7%","7.7%","0.0%","0.0%","92.3%"
"Shane Zylstra","DET","13","7.7%","7.7%","0.0%","15.4%","76.9%"
"Jonnu Smith","NE","14","7.1%","0.0%","7.1%","7.1%","85.7%"
"James Mitchell","DET","14","7.1%","0.0%","7.1%","0.0%","92.9%"
"C.J. Uzomah","NYJ","15","6.7%","6.7%","0.0%","0.0%","93.3%"
"Adam Trautman","NO","15","6.7%","0.0%","6.7%","13.3%","80.0%"
"Durham Smythe","MIA","16","6.3%","0.0%","6.3%","12.5%","81.3%"
"Mitchell Wilcox","CIN","16","6.3%","0.0%","6.3%","6.3%","87.5%"
"John Bates","WAS","16","6.3%","0.0%","6.3%","6.3%","87.5%"
"Jake Ferguson","DAL","16","6.3%","0.0%","6.3%","12.5%","81.3%"
"Trey McBride","ARI","16","6.3%","6.3%","0.0%","25.0%","68.8%"
"Marcedes Lewis","GB","17","5.9%","0.0%","5.9%","5.9%","88.2%"
