"Name","Team","GP","Top 24","WR1","WR2","WR3","WR4+"
"Cooper Kupp","LAR","9","88.9%","66.7%","22.2%","0.0%","11.1%"
"Tyreek Hill","MIA","17","70.6%","47.1%","23.5%","17.6%","11.8%"
"A.J. Brown","PHI","17","70.6%","35.3%","35.3%","5.9%","23.5%"
"Justin Jefferson","MIN","17","70.6%","52.9%","17.6%","0.0%","29.4%"
"Keenan Allen","LAC","10","70.0%","10.0%","60.0%","10.0%","20.0%"
"Stefon Diggs","BUF","16","68.8%","56.3%","12.5%","0.0%","31.3%"
"DeAndre Hopkins","ARI","9","66.7%","33.3%","33.3%","11.1%","22.2%"
"CeeDee Lamb","DAL","17","58.8%","47.1%","11.8%","17.6%","23.5%"
"Ja'Marr Chase","CIN","12","58.3%","41.7%","16.7%","16.7%","25.0%"
"Tee Higgins","CIN","16","56.3%","25.0%","31.3%","12.5%","31.3%"
"Davante Adams","LV","17","52.9%","41.2%","11.8%","17.6%","29.4%"
"Christian Kirk","JAX","17","52.9%","23.5%","29.4%","5.9%","47.1%"
"DK Metcalf","SEA","17","52.9%","17.6%","35.3%","5.9%","41.2%"
"Tyler Lockett","SEA","16","50.0%","18.8%","31.3%","25.0%","25.0%"
"Jahan Dotson","WAS","12","50.0%","16.7%","33.3%","8.3%","41.7%"
"Amari Cooper","CLE","17","47.1%","35.3%","11.8%","11.8%","41.2%"
"DeVonta Smith","PHI","17","47.1%","23.5%","23.5%","23.5%","29.4%"
"Jaylen Waddle","MIA","17","47.1%","29.4%","17.6%","17.6%","35.3%"
"Jerry Jeudy","DEN","15","46.7%","20.0%","26.7%","13.3%","40.0%"
"Chris Olave","NO","15","46.7%","13.3%","33.3%","0.0%","53.3%"
"Mike Williams","LAC","13","46.2%","30.8%","15.4%","7.7%","46.2%"
"Terry McLaurin","WAS","17","41.2%","17.6%","23.5%","23.5%","35.3%"
"George Pickens","PIT","17","41.2%","17.6%","23.5%","5.9%","52.9%"
"Isaiah Hodgins","BUF","10","40.0%","10.0%","30.0%","0.0%","60.0%"
"Amon-Ra St. Brown","DET","16","37.5%","25.0%","12.5%","37.5%","25.0%"
"Rondale Moore","ARI","8","37.5%","12.5%","25.0%","12.5%","50.0%"
